img,doctor,experience,top_model,weight
592_HC.png,Doc_D,junior,M4,0.3333333333333333
592_HC.png,Doc_D,junior,M5,0.3333333333333333
380_HC.png,Doc_D,junior,M5,1.0
771_HC.png,Doc_D,junior,M3,0.3333333333333333
771_HC.png,Doc_D,junior,M4,0.3333333333333333
771_HC.png,Doc_D,junior,M5,0.3333333333333333
519_HC.png,Doc_D,junior,M2,0.5
519_HC.png,Doc_D,junior,M5,0.5
561_2HC.png,Doc_D,junior,M2,0.25
561_2HC.png,Doc_D,junior,M3,0.25
561_2HC.png,Doc_D,junior,M4,0.25
561_2HC.png,Doc_D,junior,M5,0.25
439_HC.png,Doc_D,junior,M1,0.5
439_HC.png,Doc_D,junior,M4,0.5
493_HC.png,Doc_D,junior,M1,0.2
493_HC.png,Doc_D,junior,M2,0.2
493_HC.png,Doc_D,junior,M3,0.2
493_HC.png,Doc_D,junior,M4,0.2
493_HC.png,Doc_D,junior,M5,0.2
473_HC.png,Doc_D,junior,M2,0.3333333333333333
473_HC.png,Doc_D,junior,M3,0.3333333333333333
473_HC.png,Doc_D,junior,M5,0.3333333333333333
510_HC.png,Doc_D,junior,M2,0.25
510_HC.png,Doc_D,junior,M3,0.25
510_HC.png,Doc_D,junior,M4,0.25
510_HC.png,Doc_D,junior,M5,0.25
512_HC.png,Doc_D,junior,M3,0.3333333333333333
512_HC.png,Doc_D,junior,M4,0.3333333333333333
512_HC.png,Doc_D,junior,M5,0.3333333333333333
193_2HC.png,Doc_D,junior,M4,1.0
001_HC.png,Doc_D,junior,M4,0.5
001_HC.png,Doc_D,junior,M5,0.5
208_HC.png,Doc_D,junior,M5,1.0
178_HC.png,Doc_D,junior,M5,1.0
032_HC.png,Doc_D,junior,M3,0.3333333333333333
032_HC.png,Doc_D,junior,M4,0.3333333333333333
032_HC.png,Doc_D,junior,M5,0.3333333333333333
026_2HC.png,Doc_D,junior,M4,1.0
160_HC.png,Doc_D,junior,M2,1.0
350_HC.png,Doc_D,junior,M4,0.5
350_HC.png,Doc_D,junior,M5,0.5
712_2HC.png,Doc_D,junior,M4,1.0
058_HC.png,Doc_D,junior,M4,0.5
058_HC.png,Doc_D,junior,M5,0.5
072_HC.png,Doc_D,junior,M3,1.0
719_HC.png,Doc_D,junior,M5,1.0
352_2HC.png,Doc_D,junior,M2,0.25
352_2HC.png,Doc_D,junior,M3,0.25
352_2HC.png,Doc_D,junior,M4,0.25
352_2HC.png,Doc_D,junior,M5,0.25
375_HC.png,Doc_D,junior,M1,0.2
375_HC.png,Doc_D,junior,M2,0.2
375_HC.png,Doc_D,junior,M3,0.2
375_HC.png,Doc_D,junior,M4,0.2
375_HC.png,Doc_D,junior,M5,0.2
057_HC.png,Doc_D,junior,M2,0.5
057_HC.png,Doc_D,junior,M3,0.5
035_HC.png,Doc_D,junior,M2,0.5
035_HC.png,Doc_D,junior,M5,0.5
357_HC.png,Doc_D,junior,M3,0.3333333333333333
357_HC.png,Doc_D,junior,M4,0.3333333333333333
357_HC.png,Doc_D,junior,M5,0.3333333333333333
708_HC.png,Doc_E,non-expert,M4,0.5
708_HC.png,Doc_E,non-expert,M5,0.5
110_HC.png,Doc_E,non-expert,M4,0.5
110_HC.png,Doc_E,non-expert,M5,0.5
089_HC.png,Doc_E,non-expert,M2,0.25
089_HC.png,Doc_E,non-expert,M3,0.25
089_HC.png,Doc_E,non-expert,M4,0.25
089_HC.png,Doc_E,non-expert,M5,0.25
592_HC.png,Doc_E,non-expert,M3,1.0
380_HC.png,Doc_E,non-expert,M4,1.0
771_HC.png,Doc_E,non-expert,M3,0.3333333333333333
771_HC.png,Doc_E,non-expert,M4,0.3333333333333333
771_HC.png,Doc_E,non-expert,M5,0.3333333333333333
519_HC.png,Doc_E,non-expert,M4,0.5
519_HC.png,Doc_E,non-expert,M5,0.5
561_2HC.png,Doc_E,non-expert,M2,0.25
561_2HC.png,Doc_E,non-expert,M3,0.25
561_2HC.png,Doc_E,non-expert,M4,0.25
561_2HC.png,Doc_E,non-expert,M5,0.25
439_HC.png,Doc_E,non-expert,M3,0.3333333333333333
439_HC.png,Doc_E,non-expert,M4,0.3333333333333333
439_HC.png,Doc_E,non-expert,M5,0.3333333333333333
493_HC.png,Doc_E,non-expert,M2,0.5
493_HC.png,Doc_E,non-expert,M3,0.5
473_HC.png,Doc_E,non-expert,M3,0.3333333333333333
473_HC.png,Doc_E,non-expert,M4,0.3333333333333333
473_HC.png,Doc_E,non-expert,M5,0.3333333333333333
510_HC.png,Doc_E,non-expert,M4,0.5
510_HC.png,Doc_E,non-expert,M5,0.5
512_HC.png,Doc_E,non-expert,M2,0.25
512_HC.png,Doc_E,non-expert,M3,0.25
512_HC.png,Doc_E,non-expert,M4,0.25
512_HC.png,Doc_E,non-expert,M5,0.25
193_2HC.png,Doc_E,non-expert,M3,0.5
193_2HC.png,Doc_E,non-expert,M4,0.5
001_HC.png,Doc_E,non-expert,M5,1.0
208_HC.png,Doc_E,non-expert,M4,0.5
208_HC.png,Doc_E,non-expert,M5,0.5
178_HC.png,Doc_E,non-expert,M3,0.3333333333333333
178_HC.png,Doc_E,non-expert,M4,0.3333333333333333
178_HC.png,Doc_E,non-expert,M5,0.3333333333333333
032_HC.png,Doc_E,non-expert,M4,0.5
032_HC.png,Doc_E,non-expert,M5,0.5
026_2HC.png,Doc_E,non-expert,M4,1.0
160_HC.png,Doc_E,non-expert,M2,0.25
160_HC.png,Doc_E,non-expert,M3,0.25
160_HC.png,Doc_E,non-expert,M4,0.25
160_HC.png,Doc_E,non-expert,M5,0.25
350_HC.png,Doc_E,non-expert,M2,0.3333333333333333
350_HC.png,Doc_E,non-expert,M3,0.3333333333333333
350_HC.png,Doc_E,non-expert,M4,0.3333333333333333
712_2HC.png,Doc_E,non-expert,M3,0.5
712_2HC.png,Doc_E,non-expert,M5,0.5
058_HC.png,Doc_E,non-expert,M2,0.3333333333333333
058_HC.png,Doc_E,non-expert,M3,0.3333333333333333
058_HC.png,Doc_E,non-expert,M4,0.3333333333333333
072_HC.png,Doc_E,non-expert,M2,0.25
072_HC.png,Doc_E,non-expert,M3,0.25
072_HC.png,Doc_E,non-expert,M4,0.25
072_HC.png,Doc_E,non-expert,M5,0.25
719_HC.png,Doc_E,non-expert,M3,0.5
719_HC.png,Doc_E,non-expert,M4,0.5
352_2HC.png,Doc_E,non-expert,M2,0.5
352_2HC.png,Doc_E,non-expert,M3,0.5
375_HC.png,Doc_E,non-expert,M2,0.25
375_HC.png,Doc_E,non-expert,M3,0.25
375_HC.png,Doc_E,non-expert,M4,0.25
375_HC.png,Doc_E,non-expert,M5,0.25
057_HC.png,Doc_E,non-expert,M2,1.0
035_HC.png,Doc_E,non-expert,M3,1.0
357_HC.png,Doc_E,non-expert,M3,0.3333333333333333
357_HC.png,Doc_E,non-expert,M4,0.3333333333333333
357_HC.png,Doc_E,non-expert,M5,0.3333333333333333
708_HC.png,Doc_F,non-expert,M2,0.25
708_HC.png,Doc_F,non-expert,M3,0.25
708_HC.png,Doc_F,non-expert,M4,0.25
708_HC.png,Doc_F,non-expert,M5,0.25
110_HC.png,Doc_F,non-expert,M4,1.0
089_HC.png,Doc_F,non-expert,M3,0.5
089_HC.png,Doc_F,non-expert,M5,0.5
592_HC.png,Doc_F,non-expert,M2,0.25
592_HC.png,Doc_F,non-expert,M3,0.25
592_HC.png,Doc_F,non-expert,M4,0.25
592_HC.png,Doc_F,non-expert,M5,0.25
380_HC.png,Doc_F,non-expert,M4,1.0
771_HC.png,Doc_F,non-expert,M2,0.25
771_HC.png,Doc_F,non-expert,M3,0.25
771_HC.png,Doc_F,non-expert,M4,0.25
771_HC.png,Doc_F,non-expert,M5,0.25
519_HC.png,Doc_F,non-expert,M2,0.3333333333333333
519_HC.png,Doc_F,non-expert,M4,0.3333333333333333
